"ethical_principle","mean","ci_lower","ci_upper","prob_positive","prob_negative"
"selfishness",0.001563569529675,-0.305523135525,0.311904990745,0.498,0.502
"generosity",0.010864538756475,-0.27072260055,0.3357165174,0.505,0.495
"tradition
 compliance",0.00376374352634,-0.28807839335,0.29746026075,0.50125,0.49875
"reward
 labor",-0.0025370545067525,-0.32271340466,0.2957809934,0.4975,0.5025
"reward
 land",-0.0024170087772175,-0.301843998615,0.302716335304999,0.50625,0.49375
"reward
 resource",-0.0010246986769975,-0.31195562365,0.299887919915,0.501,0.499
"reward labor
 and land",-0.0036629848557675,-0.31468657115,0.30466853075,0.5035,0.4965
"reward labor
 and resource",-0.000240130238755,-0.3008918683,0.3072504218,0.4945,0.5055
"reward land
 and resource",-0.00526468498688,-0.32387700705,0.2982923916,0.49775,0.50225
"reward
 all three",-0.0010452897529675,-0.29532915315,0.312154961615,0.489,0.511
