"ethical_principle","mean","ci_lower","ci_upper","prob_positive","prob_negative"
"selfishness",0.00020655484965615,-0.55647494900055,0.55563332090369,0.495,0.505
"generosity",0.0063177652937456,-0.504614793325,0.545709125194499,0.511,0.489
"tradition
 compliance",-0.00732703279361338,-0.538366384476495,0.5285908073565,0.48975,0.51025
"reward
 labor",0.00418813400589993,-0.487455006185,0.5013212277425,0.50875,0.49125
"reward
 land",-0.00576305377340796,-0.5373537569605,0.49613546736,0.48275,0.51725
"reward
 resource",0.0015606818891718,-0.51786359932,0.539486121082,0.50125,0.49875
"reward labor
 and land",0.000400164568681449,-0.518713069175,0.525549196618,0.496,0.504
"reward labor
 and resource",0.00621633414197072,-0.5090778176515,0.539810962804999,0.5055,0.4945
"reward land
 and resource",-0.00549754262576002,-0.517528331162,0.472559510884999,0.492,0.508
"reward
 all three",-0.000302005706708162,-0.523461875397,0.5234312595125,0.50875,0.49125
