"ethical_principle","mean","ci_lower","ci_upper","prob_positive","prob_negative"
"selfishness",0.0365355088651338,-0.024218283505,0.160918251215,0.756,0.244
"generosity",0.190042044112854,-0.20334133196,0.664849963395,0.75375,0.24625
"tradition
 compliance",-0.707826989840441,-0.8796201146,-0.481642449735,0.001,0.999
"reward
 labor",0.031823256384225,-0.130967770579,0.2777853707,0.5615,0.4385
"reward
 land",0.0460408017638825,-0.035936232229,0.22441213961,0.71625,0.28375
"reward
 resource",0.264651498598648,-0.046400865089,0.6714952937375,0.90475,0.09525
"reward labor
 and land",0.0636764941830448,-0.052838903395,0.289751362046,0.73975,0.26025
"reward labor
 and resource",0.0148354465392542,-0.1035949712675,0.16660984461,0.538,0.462
"reward land
 and resource",0.0472625048134963,-0.04209789329985,0.23072591786,0.71825,0.28175
"reward
 all three",0.0129594346612774,-0.12291471751,0.2088936887415,0.50125,0.49875
