"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"mu_alpha[1]",-0.580092297413628,-0.560664595,0.700367428392026,0.701102570133,-1.794612765,0.547132666999999,1.00002347074465,6212.46396583401,3297.91620178728
"mu_alpha[2]",1.32909740402564,1.3897662,0.908761816196202,0.9421878522,-0.2639422255,2.699151125,0.99970350699568,2875.77926440133,3105.56019042543
"mu_alpha[3]",0.586964799817699,0.56926106,0.757977248108365,0.7697846341185,-0.63611378,1.861327765,1.00020173816987,5148.12405904028,3291.80950128048
"mu_alpha[4]",-0.0531470811297875,-0.0555970815,0.7623121728743,0.751138096233,-1.312771705,1.189528445,1.00112147051188,5814.30628598502,2921.83747804497
"mu_alpha[5]",-0.420024464470252,-0.42601065,0.736578288206478,0.747415621218,-1.652663455,0.7882393885,1.00004062033459,6499.7241529072,2580.85436469654
"mu_alpha[6]",0.245468288138313,0.24529985,0.790086504106005,0.784131253941,-1.05610793,1.513141345,1.00027530691092,6508.43139222222,2914.39208336078
"mu_alpha[7]",-0.23947109654946,-0.234303535,0.724770626747432,0.7177592772,-1.478865105,0.925203968,1.00012129987616,5969.43366674523,3516.88155100053
"mu_alpha[8]",-0.272322783324835,-0.25935895,0.742703528133052,0.749649083988,-1.50978605,0.9540093685,1.00116893794804,6178.57846513759,2799.06659547894
"mu_alpha[9]",-0.398291281683012,-0.398439635,0.749159249292599,0.754812208836,-1.638868235,0.8079186335,1.00072185131985,6736.87572484938,3034.43318149106
"mu_alpha[10]",-0.190717971177476,-0.19093563,0.742362796546882,0.750879938508,-1.430200195,1.02780384,1.00124356691368,5267.03684667873,3114.76812019862
"sigma_alpha[1]",0.62161544670893,0.520557465,0.4729575928566,0.441987367227,0.04611442195,1.562453025,1.00068848389826,3216.75122371424,1787.02189896294
"sigma_alpha[2]",1.40786536721998,1.3693133,0.826845740918169,0.93822160068,0.1522107715,2.7996868,1.00192591317105,1292.65617162776,1442.46915590422
"sigma_alpha[3]",0.824555829156787,0.699072805,0.622601816772649,0.619548243069,0.06486094435,2.01564446,1.00075220201563,2053.58374754632,2017.20728565981
"sigma_alpha[4]",0.823359871459662,0.707875655,0.621576343031579,0.61602563736,0.05544288025,2.000936325,1.00187091279629,2325.81208399066,1583.59436140674
"sigma_alpha[5]",0.69893468446295,0.5812733,0.541628299376751,0.526498043169,0.0489109062,1.763188695,0.999888019567545,3484.91000591856,2225.02611209412
"sigma_alpha[6]",1.00849499856398,0.89255301,0.706071886292872,0.730226690403,0.0901740881,2.336936885,1.00086997022418,2496.32268020856,2014.57397980902
"sigma_alpha[7]",0.720783766700865,0.596312925,0.551862091133932,0.542197094418,0.0610743591,1.7970038,1.00100688128748,2718.28379051095,2096.42588366861
"sigma_alpha[8]",0.734065022135225,0.612858205,0.555444699609566,0.548982806358,0.0668502269,1.81743089,1.00025599445311,3115.53196044995,1836.34611455833
"sigma_alpha[9]",0.722465452248182,0.61500179,0.539327230918239,0.536198502231,0.0658671662,1.78605474,1.00042915263686,3773.9877031631,2501.43308704304
"sigma_alpha[10]",0.7659089437882,0.653446355,0.572735780466324,0.559564930575,0.06248608835,1.90991312,1.00126837249469,2942.66882890371,1863.72309564938
"beta[1]",0.42912295191681,0.421661155,1.18390474249189,1.194231942666,-1.532562115,2.36201801,1.00078391251993,4387.55651475733,3272.70563418259
"beta[2]",0.419133775153335,0.31891624,1.64051406793486,1.396033743636,-2.236507925,3.367708295,1.00099390052443,1158.15797643864,1303.85486665138
"beta[3]",-3.2671767384315,-3.28401305,1.14851115996924,1.143862965,-5.144310145,-1.351521855,0.999813909305409,3092.21725740166,2829.44883734664
"beta[4]",-0.0464757784310725,-0.0937772465,1.54666610711315,1.5822858823569,-2.534056115,2.51738091,1.00137583252551,3012.27446308314,3258.10387475869
"beta[5]",0.37352679514861,0.37072958,1.29073458221958,1.245733263495,-1.82012455,2.4921187,1.00026195042533,3624.70328086697,2999.88092679405
"beta[6]",1.6123612047251,1.69556,1.52974976807604,1.476722484342,-1.059263035,3.959072675,1.00002800725488,2791.99379058458,2615.92968527371
"beta[7]",0.515605879059303,0.50329221,1.37153883738673,1.377522637554,-1.77088591,2.712258195,0.999939034207049,3573.9180603836,2960.58901281641
"beta[8]",-0.168263053404282,-0.17597491,1.39127690399946,1.396493319984,-2.45803852,2.11292025,1.00063502782031,3696.52041576043,2616.18240967486
"beta[9]",0.374212227441937,0.35894911,1.30113939123122,1.294605215463,-1.75990622,2.52558947,1.0006014720578,4529.222078059,3143.95893686642
"beta[10]",-0.255699939592,-0.26583723,1.46882989962231,1.478821690269,-2.63302139,2.19863981,1.0004592051026,2762.836513741,2670.60050796076
