"ethical_principle","mean","ci_lower","ci_upper","prob_positive","prob_negative"
"selfishness",0.0301291200643638,-0.0212930969345,0.149228073146,0.72075,0.27925
"generosity",0.257870728323901,-0.2990364851063,0.7897079281755,0.724,0.276
"tradition
 compliance",-0.75575293146308,-0.9072859925305,-0.563683085715525,0,1
"reward
 labor",0.011303010652811,-0.16843442053395,0.2857022849035,0.44525,0.55475
"reward
 land",0.0387132639061804,-0.03568351785,0.211758074135,0.673,0.327
"reward
 resource",0.311773359855373,-0.012219201365,0.71117443488065,0.93625,0.06375
"reward labor
 and land",0.0635688814304925,-0.047623815562,0.297709401594,0.72275,0.27725
"reward labor
 and resource",0.00134331711542743,-0.125853253035,0.1476779053637,0.46525,0.53475
"reward land
 and resource",0.0358269648547017,-0.046558692488,0.202741055371,0.6655,0.3345
"reward
 all three",0.00522428527799264,-0.1455570126845,0.23765407271,0.42525,0.57475
