"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"mu_alpha[1]",-0.413448591094549,-0.406225345,0.751277849233645,0.749986975941,-1.6693097,0.792274243,1.00046697931465,4270.18112144791,2653.32898006074
"mu_alpha[2]",0.804319623643503,0.789463375,1.02673768341917,1.080290151885,-0.8601645135,2.51032576,1.00643419398861,1037.24119565473,2430.23151912148
"mu_alpha[3]",0.301776719065618,0.295701705,0.802255337641583,0.775263133932,-1.02191049,1.62439638,1.00189221269573,4108.12397696871,3016.51137407276
"mu_alpha[4]",0.01620867653815,0.0123593575,0.800137089266989,0.8028056721195,-1.32017699,1.356131195,1.00091369084504,3805.08304479565,2699.9853152302
"mu_alpha[5]",-0.289577128021461,-0.29690856,0.742023572585683,0.758794598457,-1.522068825,0.909430268,1.00162445353167,4537.6273333684,2933.1535740861
"mu_alpha[6]",0.186158329642446,0.199988685,0.786605757353796,0.809998287336,-1.1180696,1.468134945,1.00024781482794,4286.2663529115,2731.90383744639
"mu_alpha[7]",-0.154778044272432,-0.155506215,0.774021414025348,0.805109146968,-1.392673515,1.08857431,1.00190971097349,4645.77596306759,2987.17467723788
"mu_alpha[8]",-0.153563825673402,-0.16403616,0.764703712282448,0.768133658943,-1.43589589,1.096816575,1.00192497870913,3714.36145861748,2981.31943733011
"mu_alpha[9]",-0.283111707041578,-0.284905605,0.757177235416857,0.762708091656,-1.512493905,0.953984870999997,1.00103270735364,4159.82079408676,2412.26870551049
"mu_alpha[10]",-0.0471945336666367,-0.055619403,0.775102446785216,0.79651024488,-1.32280943,1.20379676,1.00038829733806,3908.72653519717,2742.46280093776
"sigma_alpha[1]",0.676975107804432,0.564523755,0.510170014773186,0.485710523676,0.0568143137,1.63999292,1.00245651017815,2250.36770627351,1620.92796188023
"sigma_alpha[2]",1.23330207938137,1.1025183,0.871070145138981,0.98165607267,0.1072164275,2.84557699,1.00555537721283,672.711336095858,2155.83223194588
"sigma_alpha[3]",0.81050298386605,0.695214785,0.599878285228622,0.573424927719,0.06897713055,1.978687205,1.00086693750385,1724.17398249568,1940.77043804456
"sigma_alpha[4]",0.915052531004,0.78077743,0.676197188292399,0.686742284445,0.0707751194,2.183246735,1.00310279125449,1614.08369658517,1575.9958929841
"sigma_alpha[5]",0.72302871695925,0.6218194,0.526970377235387,0.516567136176,0.06505644965,1.73468985,1.00034499672945,3193.8386164943,2143.98937857067
"sigma_alpha[6]",1.00030025607691,0.89074044,0.693532198378786,0.724306579647,0.08452983415,2.278414505,1.00224969779853,1533.08045652492,1350.03133830771
"sigma_alpha[7]",0.750728673145577,0.611066725,0.585090000813442,0.547363177053,0.0518268811,1.91136061,1.00196541993602,2070.64160330513,1136.55363668046
"sigma_alpha[8]",0.772459453635552,0.649931075,0.590283635390541,0.581113239126,0.0650483859,1.92628964,1.00101516524733,2262.42113965699,1966.23295817106
"sigma_alpha[9]",0.730481719479425,0.59791956,0.570296627286515,0.556104549588,0.0479643921,1.838303155,1.00223361685293,2123.19023432856,1532.61449309622
"sigma_alpha[10]",0.842271813550333,0.7304124,0.618884072898025,0.610274305788,0.0774360754,2.023737565,1.00115819514872,2062.32456708358,1525.4107582189
"beta[1]",0.498564225031575,0.488739265,1.68475248498131,1.68857672844,-2.23131877,3.217408855,1.00007311271419,2020.97266304403,2303.93701830045
"beta[2]",1.20878244472511,1.3567566,3.21102489123243,3.414644155818,-4.58421569,6.01823668,1.00554261730369,274.362627168833,729.676945814631
"beta[3]",-4.517832303568,-4.47483915,1.49036802381575,1.43392787286,-7.068002585,-2.16023831,1.00126033250824,2286.43707721689,2576.93979778798
"beta[4]",-0.554719436046775,-0.67020986,2.35742867356109,2.49314987103,-4.25133702,3.46694547,1.00432835979173,691.366400135523,1869.4021077484
"beta[5]",0.415703434066755,0.39665835,1.75502961376803,1.71931072992,-2.44192518,3.334225475,1.0012271730619,2310.54259797756,2657.76941035235
"beta[6]",2.60115834460202,2.7675701,1.99950927219091,1.77428472249,-0.9280088395,5.628922,1.00315177218311,1735.21149523309,1679.4080949883
"beta[7]",0.739843587705167,0.75103205,1.95477722702233,1.95698463093,-2.4793243,3.93755527,0.999865102891545,2338.74641853785,2524.91161162383
"beta[8]",-0.49766063015445,-0.500870195,2.02914223169467,2.045331712284,-3.79866226,2.91120546,1.00098380150493,1566.50344730042,1819.21673693337
"beta[9]",0.370967560033682,0.36295813,1.818081434255,1.800355220496,-2.66157268,3.33853426,1.00004296987815,2512.84547183812,2818.97418415874
"beta[10]",-0.620379075593212,-0.701365695,2.19927502271193,2.271997552923,-4.065566045,3.07952616,1.00366451786034,638.163399871589,1131.85018620317
